Actifio
Britishvolt
Briza
Brodmann17
Bryter
Buenbit
Builder
Built In
Bullhorn
Bullish
Bungalow
BusBud
Buser
Bustle Digital Gro…
Butler Hospitality
Butterfly Network
Button
BUX
Buy.com / Rakuten
Buzzer
BuzzFeed
BVAccel
Bybit
Byju's
ByteDance
Byton
C2FO
C6 Bank
Cabin
Cadre
Calibrate
Caliva
Callisto Media
Calm
Cameo
Camp K12
Candidate Labs
Candor Technology
Candy Digital
Canoo
Capillary
Capital One
Capiter
Capitolis
Capsule
Captain Fresh
CaptivateIQ
Carbon
Carbon Health
CarDekho
Cardlytics
Care.com
Careem
Career Karma
CareerArc
CareRev
CarGurus
Caribou
Carousell
Cars24
Carsome
Cart.com
Carta
Carvana
Carwow
Casavo
Cashfree Payments
Casper
Castlight Health
Catalant
Catalyst
Catch
Catch.com.au
Cazoo
Cedar
Celsius
Century Therapeu…
Cerebral
Chainalysis
Change Invest
Change.org
Chargebee
Checkmarx
Checkout.com
Checkr
Cheddar
Cheetah
Chef
Chessable
Chili Piper
Chime
Chipax
Chipper Cash
Chope
ChowNow
Chrono24
CipherTrace
Circ
CircleCI
CircleUp
Circulo Health
Cisco
Citizen
Citrine Informatics
Citrix
CityMall
Claravine
Clari
Clarify Health
Classkick
ClassPass
Clear
Clear Capital
Clearbanc
Clearbit
ClearCo
Clever Real Estate
CleverTap
ClickUp
Clinc
Cloudera
CloudFactory
Cloudinary
CloudKitchens
Clubhouse
Clue
Clumio
Clutch
Clutter
Clyde
CNET
CoachHub
Coda
Code42
CodeCombat
Codexis
Coding Dojo
Cogito
Cognyte
Coherent
Cohesity
Coinbase
CoinDCX
CoinFLEX
CoinJar
Coinsquare
CoinTracker
Collective Health
Collibra
Color Health
Colossus
CommentSold
CommerceHub
CommonBond
Community
Company
Comparis
Compass
Compete
Confluent
Conga
Connected
ConsenSys
Consider.co
ContaAzul
ContraFect
Convene
Convoy
Cookpad
Copper
Core Scientific
Corvus Insurance
CoSchedule
Cosuno
Coterie Insurance
Course Hero
Coursera
Crayon
CreateMe
Credit Sesame
Creditas
Crehana
Crejo.Fun
Criteo
CrowdRiff
CrowdStreet
Cruise
Crunchyroll
Crypto.com
CS Disco
CTO.ai
Cue
Culture Amp
Culture Trip
Curative
Curefit
Curology
Currency
Curve
Cuyana
Cvent
CyberCube
Cybereason
CyCognito
Cypress.io
Cyren
Cyteir Therapeutics
D2iQ
D2L
Daily Harvest
DailyPay
Daloopa
Dance
Daniel Wellington
Dapper Labs
Daraz
Dark
DataRails
DataRobot
DataStax
Datera
Datto
DayTwo
Dazn
DealShare
Decent
Deep Instinct
Defined.ai
Definitive Healthc…
Degreed
DeHaat
Deliv
Deliveroo
Deliveroo Australia
Delivery Hero
Dell
Demandbase
Deputy
Descartes Labs
Desktop Metal
Devo
DialSource
Digimarc
Digital Currency G…
Digital Surge
DigitalOcean
DISCO
Dispatch
Divergent 3D
Divvy
Divvy Homes
divvyDOSE
DJI
Dock
Docly
DocuSign
Doma
Domestika
Domino Data Lab
Domio
Domo
Dooly
DoorDash
Dotscience
Dover
DraftKings
DreamBox Learning
Drift
Drip
DriveWealth
Drop
Dropbox
DSCO
Dude Solutions
Dukaan
Dunzo
Dutchie
DUX Education
Dynamic Signal
E Inc.
Earnin
Earth Rides
EasyPost
Eat Just
Eatsy
Eaze
Ebanx
eBay
Ecobee
Eden / Managed …
Edgio
Edifecs
Editas Medicine
Edmodo
eGym
Eight Sleep
Ejento
Elastic
Electric
Electronic Arts
Element
Element AI
Element Analytics
Elementor
Elemy
Elinvar
Elliptic
Embark
Embark Trucks
Embroker
Emitwise
Emotive
EMX Digital
Engine eCommerce
Enjoei
Enjoy
Envato
Envoy
Equitybee
EquityZen
Ericsson
Ermetic
Eruditus
Esme Learning
Esper
Etermax
Ethos Life
eToro
Eucalyptus
Eventbrite
EverBridge
Everlane
Evernote
EVgo
Exodus
Exotel
Expert360
Exterro
ExtraHop
ezCater
F5
FabHotels
Fabric
Facily
Faire
Fandom
Fareportal
FarEye
Fast
Fate Therapeutics
Favo
Faze Medicines
Feather
Feedzai
Fetch
Fifth Season
Filevine
Finastra
Finder
Finite State
Finleap Connect
Fipola
Fireblocks
Firebolt
FireHydrant
Firework
First AML
FiscalNote
Fishbrain
Fittr
Fiverr
Fivetran
Flash Coffee
Flatiron School
Flexport
Flipboard
Flipkart
Flockjay
FloQast
Flowhub
Flowr
Fluke
Flux Systems
Flyhomes
Flymya
Flynote
Flytedesk
Flywheel Sports
Flywire
Food52
Foodpanda
Foodsby
ForeScout
Foresight Insurance
Forma.ai
Forto
Forward
FourKites
Foxtrot
Fraazo
Freetrade
Frequency Therap…
FreshBooks
FreshDirect
Freshly
Freshworks
Front
Frontdesk
FrontRow
Frubana
FuboTV
FullStory
Fundbox
Funding Circle
Funding Societies
Fungible
Furlenco
FutureLearn
G/O Media Group
G2
Gather
Gatherly
Gavelytics
Geekwire
Gem
Gemini
Genesis
Genius
Genome Medical
Getaround
Getir
GetNinjas
Getta
GetYourGuide
GitHub
GitLab
Gitpod
Give Legacy
Glassdoor
Glints
Glitch
GloriFi
Glossier
Glovo
GOAT Group
GoBear
GoBolt
GoCanvas
GoCardless
GoDaddy
GoFundMe
GoHealth
Gojek
Gokada
GoMechanic
Gong
GoNuts
Goodfood
GoodGood
GoodRx
Google
GoPro
Gopuff
Gorillas
GoSpotCheck
GoStudent
GoTo Group
Gousto
Grab
Grailed
Gramophone
Graphcore
GrayMeta
Green Labs
Greenhouse Softw…
Greenlight
Grin
Group Nine Media
Groupon
Grove Collaborative
Grover
GSR
Guardant Health
Guidewire
GumGum
Gusto
Gympass
HackerEarth
Halcyon Health
Handshake
Happy Money
Harappa
Hash
HashiCorp
Haus
Havenly
Headspace
Health IQ
Healthcare.com
HealthifyMe
HealthMatch
Hedvig
HelloFresh
Help Scout
Help.com
Her Campus Media
Heroes
Heycar
Hibob
HighRadius
Highsnobiety
Highspot
Hipcamp
Hippo Insurance
Hirect
Hired
Hireology
Hodlnaut
Hologram
Homebot
Homebound
HomeLight
Homepoint
Hometap
Homeward
Homie
HOOQ
Hootsuite
Hopin
Hopper
HopSkipDrive
Horizn Studios
Hotmart
Houzz
Hoxhunt
HP
Huawei
Hubba
HubHaus
Hubilo
HubSpot
HuffPo
HumanForest
Humble
Humu
Hunty
Huobi
Huuuge Games
Hydrow
Hyperscience
IAM Robotics
IBM
Ibotta
Icertis
Icon
ID.me
Ideoclick
iFit
Iflix
iFood
Igenous
Ignite
Ignition
Ike
Illumina
Immersive Labs
Immutable
Impact.com
Impala
Imperfect Foods
Impossible Foods
Impossible Foods …
Improbable
Included Health
Incredible Health
InDebted
Indigo
Industrious
Infarm
Influitive
InfluxData
Infogrid
Informatica
InfoSum
Inmobi
Innovaccer
Innovid
Inscripta
Inspectify
Inspirato
Instacart
Instamojo
Instructure
Intapp
Integral Ad Science
Integrate
Integrate.ai
Intel
Intercom
Intersect
Intrinsic
Introhive
Intuit
InVision
Invitae
Involves
iPrice Group
Iris Nova
IRL
iRobot
Iron Ox
IronNet
Jam City
Jama
JD.ID
Jellyfish
Jellysmack
JetClosing
Jetty
Jimdo
Jiobit
Jobcase
JOKR
Jounce Therapeuti…
Jumia
Jumio
Jump
Jumpcloud
Juni
Juniper
Juniper Square
Just Eat
Just Eat Takeaway
Juul
Kabam
Kaleidoscope
Kaltura
Kandela
Kandji
Kaodim
Kapten / Free Now
Karat
Karbon
Katerra
Kavak
Kayak / OpenTable
Kazoo
Keepe
KeepTruckin
Kenoby
Khoros
Kiavi
Kickstarter
Kinde
Kite
Kitopi
Kitty Hawk
KiwiCo
Klarna
Klaviyo
Klook
Knock
Knotel
Kodiak Robotics
Kogan
Koho
Koinly
KoinWorks
Komodo Health
Konfio
Kongregate
Kontist
Koo
Kraken
Kry
Kuda
Kueski
Kune
kununu
Kyruus
Labelbox
Labster
Lacework
Ladder Life
Lam Research
Lambda School
Landing
Lantern
Lastline
Latch
Lattice
Lawgeex
Laybuy
Lazerpay
Le Tote
LEAD
LeafLink
Leafly
League
LearnUpon
Ledn
Legible
Lemon
Lemonade
Lendi
Lending Club
Lendingkart
LendingTree
Lendis
Lenovo
LetsGetChecked
Lev
Levelset
Lever
Lido
Lido Learning
Life360
Liftoff
Lighter Capital
Lighthouse Labs
Lightico
Lightricks
Lightspeed Comm…
Lime
Limeade
Limelight
LinkedIn
Linkfire
Linktree
Liongard
Lithic
Liv Up
LivePerson
LiveRamp
LiveTiles
LiveVox
Livspace
Locomation
Loft
Loftium
Loftsmart
Loggi
Loja Integrada
Lokalise
Lola
Loom
Loop
Loopio
LoopMe
Lora DiCarlo
Lucid Diagnostics
Lucira Health
LumenAd
Lumina Networks
Lummo
Lunchbox
Luno
Lusha
Luxury Presence
Lyft
Lyric
Lyst
Lytics
M1
Made.com
Madefire
MadeiraMadeira
Magic Eden
Magic Leap
Magicbricks
Magnite
Mainstreet
Make School
MakeMyTrip
MakerBot
Malwarebytes
Mapbox
Mapify
MariaDB
Mark43
Marketforce
Marvell
Masse
MasterClass
Match Group
Matrixport
Matterport
Maven
Mavenir
MaxMilhas
McMakler
Me Poupe
Medallia
MediaMath
MediBuddy
Medium
Medly
Meero
Meesho
Megaport
Mejuri
Melio
Memmo
Menulog
Meow Wolf
Merative
Mercos
MeridianLink
MessageBird
Messari
Meta
Metaplex
Metigy
Metromile
Mews
MFine
Microsoft
Migo
Milkrun
MindBody
Mindgeek
Mindstrong
Minted
Minute Media
Miro
Misfits Market
MissFresh
Mixpanel
Mobile Premier Le…
Mode Analytics
Mode Global
Modern Treasury
Modsy
Moglix
Mogo
Mojo Vision
Moladin
Momentive
Monese
Monzo
Moove
Moovel
Morning Brew
Morning Consult
Moss
Motif Foodworks
Motif Investing
Motional
Motive
Movidesk
Mozilla
Mr Yum
Mr. Yum
Mudafy
Muni Tienda
Mural
Mux
MX
MyGate
Mythical Games
N-able Technologi…
N26
Namely
Namogoo
NanoString
Nate
Natera
National Instrume…
Nativo
Nav
Navi
NCC Group
nCino
NCSoft
NCX
Nearmap
Neoleukin Therap…
Neon
Nerdy
Nestcoin
NetApp
Netflix
Netlify
New Relic
Newfront Insurance
Next Insurance
Nextbite
Nextiva
NextRoll
Niantic
Ninjacart
Nirvana Money
Nomad
Nomad Health
Noom
Notarize
Nova Benefits
NS8
NSO
Numbrs
NuoDB
Nuri
Nuro
Nutanix
NYDIG
Nylas
Nyriad
O'Reilly Media
Oatly
Observe.AI
Ocavu
Octopus Network
Oda
Offerpad
OfferUp
OFFOR Health
Oh My Green
OKCredit
Okta
Ola
Olist
Olive
Olive AI
OLX Group
OLX India
Omie
Omnipresent
On Deck
OnDeck
OneFootball
OneStudyTeam
OneTrust
OneWeb
OnlyFans
Opal
OPay
Open Co
Opencare
Opendoor
Openpay
OpenSea
OpenText
OpenWeb
OpenX
Oportun
Optimizely
Oracle
Orbit
OrCam
Orchard
Oriente
Oscar Health
Otonomo
Ouster
OutboundEngine
Outbrain
Outdoorsy
Outreach
Outschool
Outside
Overtime
Owlet
OwnBackup
Oye Rickshaw
OYO
Oyster
Ozy Media
Pacaso
Packable
PACT Pharma
Paddle
Pagarbook
Pagaya
PagBank
PagerDuty
PagSeguro
PaisaBazaar
Palantir
Pana
Panda Squad
Papa
Parallel Wireless
Pared
Parler
Parsable
PartnerStack
Passport
Pastel
PatientPop
Patreon
Pavilion Data
Payfactors
PayFit
PayJoy
PayPal
PaySense
Paytm
PayU
Pear Therapeutics
Pebblepost
Pecan AI
Peek
Peerfit
Peerspace
PeerStreet
Pegasystems
Peloton
Pendo
People.ai
PeopleGrove
Perceptive Autom…
Perimeter 81
Perion
Perkbox
PerkSpot
Permutive
Personalis
Personetics
Perx Health
Pesto
Petal
PetLove
PhableCare
PharmEasy
Philips
PickYourTrail
Picnic
Pico Interactive
PicoBrew
Picsart
Pier
Pinterest
Pipedrive
Pipl
Pitch
Pivot3
Pix
Plaid
Planetly
Plato
Playdots
Playtika
Pleo
Plerk
Pliops
Plum
Pluralsight
Plus One Robotics
Pocket Aces
Pocketmath
Podium
Polarr
PolicyGenius
Politico / Protocol
Pollen
Polly
Polygon
Pomelo Fashion
Popin
Poshmark
Post-IPO
Postmates
Postscript
PowerReviews
Practically
Preply
Prime Trust
Primer
Prisma
Pristyn Care
Private …
Privitar
Procore
Productboard
Project44
Properly
Propzy
Prosus
Protego Trust Bank
Proterra
Protocol
Protocol Labs
Proton.ai
Provi
PuduTech
Pulse Secure
Puppet
Purse
Q4
Qin1
Qualcomm
Qualtrics
Quandoo
Quanergy Systems
Quantcast
Quanterix
Quanto
Quantum SI
Quartz
Quibi
Quicko
Quidax
Quillt
QuintoAndar
Qumulo
Quora
Qwick
Rad Power Bikes
Rain
RainFocus
Raken
Rangle
Rappi
Rapyd
Rasa
RateGenius
Reach
Reali
RealSelf
Realtor.com
Rebel Foods
Recharge
Recur Forever
Redbubble
RedDoorz
Redesign Health
Redfin
Redox
REE Automotive
Reef
Reforge
Relativity
Relevel
Religion of Sports
Remedy
Remesh
Remote
Remote Year
Renmoney
RenoRun
Rent the Runway
Repertoire Immun…
Replicated
ResearchGate
Reserve
Restaurant365
Rev.com
Revelate
Revolut
Rhino
Rhumbix
Ribbon
Ridecell
Rigetti Computing
RigUp
RingCentral
Riot Games
Ritual
Rivian
Ro
Robinhood
Rock Content
Roku
Roofstock
Root Insurance
Route
Rover
Rows
Ruangguru
Rubica
Rubicon Project
Rubicon Technolo…
Rubius
Rubrik
Ruggable
Runtastic
Rupeek
SADA
SafeGraph
Sage Therapeutics
Saks.com
Sales Boomerang
Salesforce
Salesloft
Salsify
Sama
Sami
Samsara
Samsung
Sana
Sana Benefits
Sanar
Sandbox VR
SAP
SAP Labs
Sauce Labs
Sayurbox
Scale AI
ScaleFactor
ScaleFocus
Science 37
Scoop
Scoro
Sea
Secfi
Section4
SecureWorks
Seed
Seegrid
Segment
SellerX
Sema4
SEND
SendCloud
Sendle
Sendoso
Sendy
Sensibill
Series A
Series B
Series C
Series D
Series E
Series F
Series G
Series H
Series I
Series J
Service
ServiceTitan
Sezzle
Shakepay
Share Now
ShareChat
Sharesies
Sharethrough
Shef
Shelf Engine
Sherpa
Shift
ShipBob
Shippo
Shipsi
Shogun
Shop101
Shopee
Shopify
ShopX
Showpad
Shutterfly
Shuttl
Side
Sidecar Health
Sift
Sigfox
Signicat
SimilarWeb
Simon Data
Simple
Simple Feast
Sinch
Singular
SIRCLO
SirionLabs
SiriusXM
Sisense
Siteimprove
Skai
Skedulo
Sketch
Skillshare
Skillz
SkipTheDishes
Skit.ai
Skyscanner
SkySlope
Slice Labs
Slync
Smallcase
Smarsh
SmartNews
Smartsheet
Smava
Snagajob
Snap
Snap Finance
Snapdocs
Snappy
Snaptravel
Snowplow
Snyk
Socure
SoFi
Software AG
Sojern
Solarisbank
Soluto
Sonder
SonderMind
Sono Motors
Sonos
Sophos
Sorabel
SoundCloud
SoundHound
Sourcegraph
Spaces
Spaceship
Spin
Splice
Splunk
Splyt
SpotHero
Spotify
Spreetail
Spring
Springbig
Springlane
Sprinklr
Spyce
SQream
SquadVoice
SQZ Biotech
SSense
Stack Overflow
Stage
Starry
Starship
Starship Technolo…
Stash
Stash Financial
Stashaway
Stax
Stay Alfred
Stedi
Stint
Stitch Fix
Stockwell AI
StockX
Stone
Stoqo
Stord
StoryBlocks
Storytel
Strava
Stream
StreamElements
StreamSets
StreetBees
Stripe
StrongDM
StubHub
Studio
StudySmarter
StyleSeat
Stytch
Submittable
Subsidia…
Subspace
Substack
SummerBio
SumUp
Sundae
Sunday
SundaySky
Superhuman
SuperLearn
Superloop
Superpedestrian
SuperRare
Swappie
SweetEscape
Sweetgreen
Swiggy
Swing Education
SWVL
Swyft
Swyftx
Symend
Synamedia
SynapseFI
Synapsica
Synergysuite
Synlogic
Synopsys
Synthego
Syte
Taboola
Tackle
Take-Two Interacti…
Takl
Talis Biomedical
Talkdesk
Talkwalker
Tally
Tamara Mellon
Tanium
Tapas Media
Tapps Games
TaskUs
TaxBit
TCR2
Teachmint
TealBook
Teamwork
TechAdvance
TechTarget
Teladoc Health
Teleport
Tempo
Tempo Automation
Tempus Ex
Tencent
TenureX
Terminus
Tesla
Textio
TextNow
The Appraisal Lane
The Athletic
The Grommet
The Guild
The Iconic
The Modist
The Mom Project
The Muse
The Org
The Predictive Ind…
The RealReal
The Sill
The Wing
The Zebra
TheSkimm
TheWrap
Thimble
Thinkific
ThirdLove
Thirty Madison
ThoughtSpot
Thoughtworks
Thrasio
Thread
ThredUp
Thriver
Thumbtack
Tidepool
Tiendanube
Tier Mobility
TIFIN
TikTok
TikTok India
Till Payments
Tilting Point
Tipalti
Titan Medical
Toast
Tomo
Tomorrow
TomTom
Tonal
Tonkean
Top Hat
Toppr
Tor
Toucan
TouchBistro
Trade Republic
TradeWindow
Transfix
Transmit Security
TravelBank
Traveloka
TravelTriangle
Trax
Tray.io
Treehouse
Trell
Tricida
TripActions
TripAdvisor
Tripbam
Triplebyte
TripleLift
Tripwire
Trivago
Trove Recommerce
Truck It In
Truckstop.com
TrueCar
TrueLayer
Truepill
Truiloo
Trustly
Trybe
Tufin
Tuft & Needle
Tul
Tulip Retail
Turnitin
Turntide
Turo
TuSimple
TutorMundi
Twiga
Twilio
Twine Solutions
TwinStrand
Twitter
Typeform
tZero
Ualá
Uber
Uber Freight
Uberflip
Udaan
Udacity
Udayy
Udemy
UiPath
UKG
Ula
Una Brands
Unacademy
Unbabel
Unbounce
Uncapped
Unchained Capital
Unico
Uniphore
Unison
Unity
Universal Standard
Unknown
Unstoppable Dom…
Updater
UpGrad
UpScalio
UPshow
Upstart
Urban Sports Club
Usermind
UserTesting
uShip
Utopia Music
Vacasa
Validity
VanHack
Vanta
Varo
Varonis
Vedanta Bioscienc…
Vedantu
Vee
Veem
Veev
Velodyne Lidar
Venafi
Vendasta
Vendease
Venngage
Verbit
Veriff
Verily
VerSe Innovation
VerticalScope
Vesalius Therapeu…
Vesta
Vezeeta
Vial
Viamo
Viant
Viber
Vibrent Health
Vicarious Surgical
VideoAmp
View
Vimeo
VinFast US
Virgin Hyperloop
Virta Health
Virtudent
Vise
Voi
Volt Bank
Volta
Voly
Vouch
Vox Media
Voyage SMS
Vroom
VSCO
VTEX
Wahoo Fitness
WalkMe
Wallbox
WanderJaunt
Warby Parker
Warren
Wattpad
Wave
Wave Financial
Wave Sports and …
Wavely
Wayfair
Wayflyer
Waymo
Waze
WazirX
Wealthsimple
WeDoctor
Weedmaps
Weee!
WeFit
Wefox
Welkin Health
Western Digital
Westwing
WeTrade
WeWork
Wheel
When I Work
Whereby
Whispir
WhiteHat Jr
WHOOP
WhyHotel
Wildlife Studios
Willow
Wish
Wistia
Wix
Wizeline
Wonder
Wonderschool
Wonolo
Wordstream
Workable
Workato
Workday
Workfront
Workhuman
Workmotion
WorkRamp
Workrise
Worksmith
Workstream
Woven
Wyre
Xendit
Xentral
Xero
Xerpa
Xiaohongshu
Xiaomi
Xing
XP
Xsight Labs
Yabonza
Yahoo
Yapily
Yellow.ai
Yelp
Yext
Yoco
Yojak
Yonder
Yotpo
YourGrocer
Zak
Zalando
Zapp
Zappos
Zego
Zeitgold
ZenBusiness
Zencity
Zendesk
Zenefits
Zenius
Zenjob
ZenLedger
Zenoti
Zepto
Zerto
Zest AI
Zeus Living
Zhihu
Zilch
Zilingo
Zillow
Zinier
Zipcar
ZipRecruiter
Ziroom
Zola
Zomato
Zoom
Zoomo
Zoopla
Zoox
Zscaler
Zulily
Zum
Zume
Zumper
Zuora
Zwift
Zymergen
Zywave
